Designator,Mid X,Mid Y,Rotation,Layer
C14,135.707608,-110.767106,0.0,top
C15,96.645108,-108.267106,0.0,top
C16,77.425108,-83.257106,0.0,top
C17,96.645108,-111.277106,0.0,top
C32,101.455108,-114.287106,0.0,top
C33,136.725108,-129.567106,0.0,top
D10,157.145108,-73.317106,0.0,top
D11,157.145108,-79.767106,0.0,top
D12,157.145108,-86.217106,0.0,top
D13,157.145108,-92.667106,0.0,top
D14,157.145108,-99.117106,0.0,top
D15,113.595108,-121.417106,0.0,top
D16,113.595108,-128.467106,0.0,top
D17,113.595108,-135.517106,0.0,top
D18,113.595108,-142.567106,0.0,top
D19,113.595108,-149.617106,0.0,top
D20,121.645108,-121.417106,0.0,top
D21,121.645108,-128.467106,0.0,top
D22,121.645108,-135.517106,0.0,top
D23,121.645108,-142.567106,0.0,top
D24,121.645108,-149.617106,0.0,top
D25,129.695108,-121.417106,0.0,top
D26,129.695108,-128.467106,0.0,top
D27,129.695108,-135.517106,0.0,top
D5,136.945108,-120.392106,180.0,top
D6,136.945108,-125.167106,180.0,top
F1,142.485108,-110.254606,90.0,top
H1,72.145108,-79.457106,0.0,top
J2,134.485108,-94.187106,0.0,top
J3,152.670108,-113.267106,90.0,top
KEY1,94.645108,-71.767106,0.0,top
KEY2,93.645108,-83.267106,0.0,top
LED2,110.105108,-72.157106,0.0,top
LS1,112.095108,-65.767106,0.0,top
Q1,163.020108,-91.847106,180.0,top
R10,142.595108,-83.817106,0.0,top
R11,142.595108,-87.107106,0.0,top
R12,112.145108,-84.467106,0.0,top
R13_2,112.145108,-87.417106,0.0,top
R13,142.595108,-90.397106,0.0,top
R14_2,142.595108,-93.687106,0.0,top
R14,112.145108,-90.367106,0.0,top
R15_2,142.595108,-96.977106,0.0,top
R15,112.145108,-93.317106,0.0,top
R16,142.595108,-100.267106,0.0,top
R17,120.095108,-62.147106,0.0,top
R18,120.095108,-65.457106,0.0,top
R19,120.095108,-68.767106,0.0,top
R9,112.145108,-81.517106,0.0,top
U1,141.985108,-55.767106,0.0,top
U2,78.985108,-75.767106,180.0,top
